央视频道,#genre#
CCTV1,http://115.58.216.93:4000/udp/225.1.4.73:1102$IPV4『线路1』
CCTV1,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路2』
CCTV1,http://tv.cqshushu.ggff.net:2086/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4『线路3』
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$IPV4『线路4』
CCTV1,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$IPV4『线路5』
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路6』
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路7』
CCTV1,http://219.135.180.210:18888/hls/1/index.m3u8$IPV4『线路8』
CCTV1,http://101.65.34.130:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4『线路9』
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$IPV4『线路10』
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8$IPV4『线路11』
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路12』
CCTV1,http://111.227.196.164:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路13』
CCTV1,http://1.24.190.122:1080/hls/1/index.m3u8$IPV4『线路14』
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路15』
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路16』
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路17』
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路18』
CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4『线路19』
CCTV1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$IPV4『线路20』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4『线路21』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hmsdevid=1012&vqe=3$IPV4『线路22』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8$IPV4『线路23』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226016/index.m3u8$IPV4『线路24』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$IPV4『线路25』
CCTV1,http://39.135.133.167:80/TVOD/88888888/224/3221225816/main.m3u8$IPV4『线路26』
CCTV1,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?$IPV4『线路27』
CCTV1,http://39.135.133.167:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hmsdevid=1012&vqe=3$IPV4『线路28』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$IPV4『线路29』
CCTV1,http://39.135.133.157:80/TVOD/88888888/224/3221225816/main.m3u8$IPV4『线路30』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$IPV4『线路31』
CCTV1,http://39.135.133.157:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$IPV4『线路32』
CCTV1,http://39.135.133.155:80/TVOD/88888888/224/3221226119/main.m3u8$IPV4『线路33』
CCTV1,http://39.135.135.28:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$IPV4『线路34』
